"proj_id","team_size","budget","workload","completion_time","assigned_manager","tasks__id","tasks__description","tasks__status","tasks__person_assigned","tasks__due_date","tasks__estimated_duration"
"","","","","","","4","Debug database schema","complete","Peggy Young","2024-02-29","10"
"49","7","13173.92","medium","76","Megan Carpenter","1","Test user interface","complete","Kathryn May","2024-08-05","6"
"","","","","","","2","Document algorithm","incomplete","Gloria Wilson","2024-08-05","7"
"","","","","","","3","Optimize user interface","incomplete","Vernon Johnson","2024-08-05","2"
"","","","","","","4","Test database schema","complete","Troy Simon","2024-08-05","7"
"50","9","14124.64","low","307","Erin Hale","1","Optimize database schema","incomplete","Joy Rogers","2024-09-07","8"
"51","1","11017.79","high","97","Paul Webb","1","Design integration module","complete","Austin Knox","2024-09-20","3"
"","","","","","","2","Optimize user interface","incomplete","Katelyn Walker","2024-09-20","2"
"","","","","","","3","Design algorithm","complete","Kevin Ferguson","2024-09-20","3"
"","","","","","","4","Document database schema","incomplete","Rodney Valdez","2024-09-20","7"
"52","8","14901.22","low","263","George Shannon","1","Optimize integration module","complete","Joy Rogers","2024-04-23","2"
"","","","","","","2","Debug database schema","incomplete","Samantha Martinez","2024-04-23","1"
"","","","","","","3","Document database schema","incomplete","Amber Glover","2024-04-23","3"
"","","","","","","4","Optimize algorithm","incomplete","Steven Sharp","2024-04-23","6"
"53","9","13814.36","medium","263","Patricia Thomas","1","Debug backend logic","incomplete","Joseph Wade","2024-05-15","1"
"","","","","","","2","Document algorithm","incomplete","Christopher Lewis","2024-05-15","7"
"54","3","12476.64","low","94","Daniel Romero","1","Debug user interface","incomplete","Cassandra Hogan","2024-12-07","1"
"","","","","","","2","Implement algorithm","complete","Kaitlyn Mayer","2024-12-07","2"
"","","","","","","3","Test database schema","incomplete","Michael White","2024-12-07","2"
"55","6","14261.71","high","224","Patricia Thomas","1","Design integration module","complete","Brittany King","2024-12-25","4"
"","","","","","","2","Document database schema","complete","Willie Daniels","2024-12-25","2"
"","","","","","","3","Design user interface","incomplete","Michael Skinner","2024-12-25","3"
"","","","","","","4","Test user interface","complete","Matthew Hill","2024-12-25","6"
"56","1","11466.84","medium","250","Erika Brown","1","Document backend logic","complete","James Hernandez","2024-06-13","3"
"","","","","","","2","Optimize algorithm","complete","Sharon Hughes","2024-06-13","8"
"","","","","","","3","Implement backend logic","incomplete","Kenneth Huffman","2024-06-13","5"
"","","","","","","4","Test user interface","incomplete","Scott Rogers","2024-06-13","5"
"57","9","10789.88","medium","206","Emily Ball","1","Test algorithm","incomplete","Jeremy Gamble","2024-07-11","4"
"","","","","","","2","Debug user interface","complete","Jason Schneider","2024-07-11","7"
"","","","","","","3","Test integration module","incomplete","Joseph Wade","2024-07-11","5"
"","","","","","","4","Document algorithm","incomplete","Brandy Kennedy","2024-07-11","1"
"58","10","14325.34","high","55","Nicole Lewis","1","Implement integration module","incomplete","Emily Delgado","2024-10-20","4"
"","","","","","","2","Implement integration module","incomplete","Heather Baker","2024-10-20","3"
"","","","","","","3","Design user interface","incomplete","Jennifer Harrison","2024-10-20","8"
"59","1","12897.87","high","97","Ashley Lyons","1","Debug backend logic","complete","Bradley Taylor","2024-07-09","3"
"","","","","","","2","Test integration module","incomplete","Brittany King","2024-07-09","3"
"","","","","","","3","Debug database schema","incomplete","Timothy Orozco","2024-07-09","2"
"60","8","14814.47","low","145","Bailey Hall","1","Test user interface","incomplete","Marvin Long","2025-01-19","1"
"","","","","","","2","Optimize user interface","incomplete","Virginia Mayo","2025-01-19","6"
"","","","","","","3","Document database schema","incomplete","Darren Gill","2025-01-19","6"
"","","","","","","4","Document backend logic","incomplete","Gregory Wright","2025-01-19","1"
"61","10","14421.17","high","197","Chase Welch","1","Debug database schema","incomplete","Heather Baker","2024-06-01","2"
"62","3","10226.73","low","185","Stephanie Flynn","1","Optimize backend logic","incomplete","Marie Gonzalez","2024-04-08","8"
"63","6","13352.43","high","306","Marc Marquez","1","Document user interface","incomplete","Erik Clark","2024-12-05","10"
"","","","","","","2","Test user interface","incomplete","Austin Ellis","2024-12-05","4"
"64","8","12223.48","low","215","Tyler Turner","1","Document database schema","complete","Randy Garcia","2025-01-25","7"
"","","","","","","2","Implement user interface","incomplete","Samantha Martinez","2025-01-25","2"
"","","","","","","3","Implement integration module","complete","Samantha Arnold","2025-01-25","1"
"65","6","11217.84","low","319","Joseph Johnson","1","Implement backend logic","incomplete","Anthony Ruiz","2024-03-15","3"
"","","","","","","2","Design database schema","complete","Ariel Watson","2024-03-15","3"
"66","9","11253.27","low","86","Edward Owen","1","Test backend logic","incomplete","John Beasley","2024-02-22","1"
"","","","","","","2","Test user interface","complete","David Mccullough","2024-02-22","7"
"67","9","10568.25","low","273","Pamela Craig","1","Optimize backend logic","complete","Ronald Thompson","2024-08-12","9"
"68","5","12290.21","low","61","Megan Carpenter","1","Design algorithm","incomplete","James Armstrong","2024-09-01","2"
"","","","","","","2","Test integration module","complete","Sharon Hughes","2024-09-01","2"
"","","","","","","3","Test integration module","incomplete","Angela Smith","2024-09-01","7"
"","","","","","","4","Optimize database schema","incomplete","Ariel Watson","2024-09-01","9"
"69","10","12151.0","high","88","Stacy Watts","1","Debug backend logic","incomplete","Stephanie Murphy","2025-01-07","6"
"","","","","","","2","Debug algorithm","complete","Howard Murphy","2025-01-07","6"
"70","7","11562.62","medium","221","Erika Brown","1","Design user interface","complete","Stephen Brown","2025-01-25","7"
"","","","","","","2","Document database schema","complete","Kayla Watts","2025-01-25","9"
"","","","","","","3","Optimize integration module","incomplete","Meagan Nguyen","2025-01-25","2"
"","","","","","","4","Test algorithm","complete","Gloria Wilson","2025-01-25","5"
"71","10","11562.24","low","325","Daniel Romero","1","Debug backend logic","complete","Jacqueline Anderson","2024-05-27","6"
"","","","","","","2","Test user interface","incomplete","Marvin Long","2024-05-27","10"
"72","4","14036.11","high","348","Chase Welch","1","Document database schema","complete","Paul Watson","2025-01-19","3"
"73","5","13513.49","medium","203","Thomas Lopez","1","Optimize algorithm","complete","Sara Strong","2024-02-12","3"
"","","","","","","2","Document user interface","complete","Gregory Martin","2024-02-12","9"
"74","4","11880.97","medium","204","Amanda Baker","1","Test integration module","complete","Kaitlyn Mayer","2024-08-16","1"
"","","","","","","2","Implement integration module","complete","Robin Zamora","2024-08-16","2"
"","","","","","","3","Debug algorithm","incomplete","Susan Morrison","2024-08-16","10"
"75","8","12070.92","low","292","Jessica Costa","1","Test integration module","incomplete","David Moses","2024-08-03","9"
"","","","","","","2","Test user interface","complete","Penny Swanson","2024-08-03","7"
"","","","","","","3","Design user interface","complete","Gene Robbins","2024-08-03","5"
"","","","","","","4","Implement database schema","incomplete","Bobby Jones","2024-08-03","6"
"76","2","10038.65","high","250","Robert Allen","1","Document backend logic","incomplete","Lynn Smith","2024-04-15","2"
"","","","","","","2","Document user interface","incomplete","Leslie Friedman","2024-04-15","1"
"","","","","","","3","Design database schema","incomplete","Scott Rogers","2024-04-15","10"
"","","","","","","4","Document algorithm","incomplete","Collin Hunter","2024-04-15","2"
"77","7","10104.28","medium","117","Chase Welch","1","Debug user interface","complete","Donald Ramos","2024-10-01","7"
"","","","","","","2","Debug integration module","complete","Anthony Ruiz","2024-10-01","7"
"","","","","","","3","Document database schema","complete","Katelyn Walker","2024-10-01","6"
"78","3","10381.9","high","88","Brandon Harris","1","Test database schema","complete","Emily Delgado","2024-10-27","4"
"","","","","","","2","Implement database schema","complete","Scott Norris","2024-10-27","3"
"79","10","10764.35","high","68","Robert Allen","1","Optimize integration module","incomplete","Catherine Caldwell","2024-12-26","10"
"","","","","","","2","Document integration module","incomplete","Robin Koch","2024-12-26","6"
"","","","","","","3","Debug user interface","incomplete","Cindy Martinez","2024-12-26","8"
"","","","","","","4","Test database schema","complete","Willie Daniels","2024-12-26","6"
"80","9","10370.95","medium","261","Sheila Weiss","1","Design user interface","incomplete","Heather Holt","2024-03-09","8"
"","","","","","","2","Optimize user interface","incomplete","Kelly Powell","2024-03-09","10"
"","","","","","","3","Implement database schema","incomplete","Peggy Young","2024-03-09","9"
"81","3","14788.61","medium","82","Daniel Lopez","1","Implement algorithm","incomplete","Adam Massey","2024-03-23","9"
"","","","","","","2","Optimize backend logic","incomplete","Jonathan Miller","2024-03-23","6"
"82","5","11937.08","medium","336","Carol Mccann","1","Test user interface","incomplete","Natasha Flores","2024-12-28","5"
"","","","","","","2","Document integration module","complete","Robert Garcia","2024-12-28","6"
"","","","","","","3","Optimize backend logic","incomplete","Sharon Hughes","2024-12-28","5"
"83","7","10644.76","high","73","Randall Jones","1","Test backend logic","complete","Robin Koch","2024-11-21","7"
"","","","","","","2","Test user interface","incomplete","Rhonda White","2024-11-21","5"
"","","","","","","3","Implement database schema","incomplete","William Perez","2024-11-21","4"
"","","","","","","4","Implement backend logic","complete","Kevin Ferguson","2024-11-21","5"
"84","2","12538.45","high","299","Sheila Weiss","1","Optimize backend logic","incomplete","Natasha Rodriguez","2025-01-12","3"
"","","","","","","2","Implement integration module","complete","John Graham","2025-01-12","8"
"","","","","","","3","Debug database schema","complete","Linda Herrera","2025-01-12","8"
"85","10","11424.64","high","259","Victoria Dunn","1","Debug backend logic","incomplete","Katelyn Walker","2024-11-08","10"
"","","","","","","2","Debug database schema","incomplete","Cathy Wood","2024-11-08","9"
"86","9","12093.3","low","132","Nicole Lewis","1","Document algorithm","incomplete","Lisa Brown","2024-04-19","9"
"","","","","","","2","Document integration module","complete","Scott Norris","2024-04-19","5"
"","","","","","","3","Implement database schema","incomplete","John Payne","2024-04-19","9"
"87","3","14155.23","low","143","Pamela Craig","1","Design algorithm","incomplete","Erik Clark","2024-08-05","4"
"88","7","14972.63","medium","144","James Hood","1","Document database schema","complete","Pamela Cruz","2024-07-21","3"
"89","1","11434.4","medium","101","David Johnson","1","Optimize user interface","complete","Steven Sharp","2025-02-04","1"
"","","","","","","2","Implement backend logic","incomplete","Timothy Orozco","2025-02-04","2"
"","","","","","","3","Test backend logic","incomplete","Emily Delgado","2025-02-04","2"
"","","","","","","4","Implement algorithm","incomplete","Keith Li","2025-02-04","2"
"90","2","14183.44","medium","335","Henry Carr","1","Implement database schema","incomplete","Glen Page","2024-02-17","1"
"","","","","","","2","Test backend logic","incomplete","Philip Ferrell","2024-02-17","3"
"91","2","12617.42","medium","64","Brandon Harris","1","Debug user interface","incomplete","Natasha Giles","2024-11-13","6"
"92","5","13736.58","medium","64","Thomas Lopez","1","Optimize database schema","complete","Debbie White","2024-06-11","1"
"93","6","12730.07","high","119","Rita Price","1","Debug backend logic","complete","Tanner Johnson","2025-01-24","2"
"","","","","","","2","Debug user interface","incomplete","Glen Page","2025-01-24","4"
"","","","","","","3","Implement user interface","incomplete","Linda Herrera","2025-01-24","5"
"","","","","","","4","Debug integration module","incomplete","Joshua Fowler","2025-01-24","5"
"94","1","13766.45","low","176","Thomas Lopez","1","Design database schema","incomplete","Susan Morrison","2024-03-04","7"
"","","","","","","2","Debug algorithm","incomplete","Erika Warren","2024-03-04","3"
"","","","","","","3","Document algorithm","incomplete","Rodney Valdez","2024-03-04","9"
"95","5","14005.74","high","247","Ashley Lyons","1","Test database schema","complete","Randy Garcia","2024-09-16","2"
"","","","","","","2","Document database schema","incomplete","Dennis Nichols","2024-09-16","8"
"96","10","13588.31","low","257","Thomas Lopez","1","Test integration module","incomplete","Karen Hansen","2024-09-24","5"
"97","1","10375.21","high","237","Kyle Freeman","1","Implement integration module","incomplete","Ethan Lewis","2024-10-28","1"
"","","","","","","2","Design backend logic","incomplete","Angela Smith","2024-10-28","6"
"98","7","14747.34","low","339","Erika Brown","1","Test algorithm","complete","Brandon Ramirez","2025-01-21","10"
"","","","","","","2","Optimize database schema","incomplete","Shawn Morris","2025-01-21","6"
"","","","","","","3","Test backend logic","complete","Peggy Young","2025-01-21","1"
"","","","","","","4","Implement algorithm","incomplete","Sarah Mccormick","2025-01-21","9"
"99","2","11308.88","medium","258","Joseph Johnson","1","Debug backend logic","complete","Matthew Hill","2024-12-18","3"
"","","","","","","2","Debug backend logic","incomplete","Brian Becker","2024-12-18","2"
"","","","","","","3","Test database schema","complete","Kimberly Cruz","2024-12-18","9"
"100","9","11451.81","medium","110","Anna Webster","1","Optimize backend logic","complete","Nancy Parker","2025-02-06","4"
"","","","","","","2","Implement algorithm","complete","Shawn Morris","2025-02-06","6"
"101","9","12861.39","medium","312","Thomas Weaver","1","Test algorithm","incomplete","Natasha Flores","2024-12-18","9"
"102","7","13845.82","high","67","Thomas Weaver","1","Debug integration module","incomplete","Ronald Thompson","2024-07-20","3"
"103","9","13198.97","low","96","Mark Tanner","1","Optimize backend logic","incomplete","Austin Knox","2024-10-23","3"
"104","3","11613.3","high","145","Thomas Lopez","1","Test backend logic","incomplete","Sharon Hughes","2024-10-31","3"
"","","","","","","2","Test integration module","complete","Jennifer Harrison","2024-10-31","9"
"","","","","","","3","Implement integration module","complete","Robin Koch","2024-10-31","3"
"105","10","13603.16","high","202","Katrina Wilson","1","Design integration module","incomplete","Sharon Hughes","2024-03-01","4"
"106","10","12082.93","high","45","Stephanie Flynn","1","Test algorithm","complete","Robin Koch","2024-12-26","7"
"","","","","","","2","Debug user interface","complete","Frank Young","2024-12-26","3"
"","","","","","","3","Debug algorithm","incomplete","Cathy Wood","2024-12-26","4"
"107","6","13033.3","medium","193","Taylor Delgado","1","Test integration module","complete","Natalie Zhang","2024-08-03","6"
"","","","","","","2","Debug user interface","incomplete","Marcia Moody","2024-08-03","8"
"","","","","","","3","Implement user interface","complete","Deborah Thompson","2024-08-03","5"
"","","","","","","4","Optimize algorithm","complete","Jason Schneider","2024-08-03","3"
"108","6","14668.76","high","190","Debra Mcdaniel","1","Debug algorithm","incomplete","Joshua Fowler","2024-04-30","8"
"","","","","","","2","Design algorithm","incomplete","Brandy Kennedy","2024-04-30","4"
"","","","","","","3","Optimize database schema","complete","Justin Hayes","2024-04-30","1"
"","","","","","","4","Debug integration module","incomplete","Amber Glover","2024-04-30","5"
"109","9","10040.89","low","250","Thomas Weaver","1","Debug database schema","complete","Kristen Jones","2024-06-23","7"
"","","","","","","2","Optimize integration module","complete","Lisa Brown","2024-06-23","6"
"","","","","","","3","Test user interface","incomplete","Candice Hunt","2024-06-23","9"
"110","8","13822.02","medium","349","Bailey Hall","1","Design algorithm","incomplete","Angela Smith","2024-12-17","6"
"111","9","14694.74","low","131","Nicole Lewis","1","Design user interface","complete","Kaitlin Estrada","2024-10-26","3"
"","","","","","","2","Test algorithm","incomplete","Pamela Cruz","2024-10-26","3"
"","","","","","","3","Optimize backend logic","incomplete","Paul Watson","2024-10-26","10"
"","","","","","","4","Implement algorithm","incomplete","Christopher Lewis","2024-10-26","10"
"112","6","12536.57","high","302","Stephanie Flynn","1","Design database schema","incomplete","Ashley Newton","2025-02-05","2"
"","","","","","","2","Optimize database schema","complete","Erik Clark","2025-02-05","10"
"","","","","","","3","Test integration module","complete","Ashley Newton","2025-02-05","1"
"113","10","12402.24","high","352","Taylor Delgado","1","Document backend logic","complete","Jose Fisher","2024-12-22","10"
"","","","","","","2","Design backend logic","complete","Kathleen Wright","2024-12-22","8"
"","","","","","","3","Debug backend logic","incomplete","Troy Simon","2024-12-22","4"
"","","","","","","4","Optimize integration module","incomplete","Gloria Wilson","2024-12-22","1"
"114","3","12593.42","high","196","Edward Owen","1","Implement algorithm","incomplete","Troy Simon","2024-10-10","9"
"","","","","","","2","Document database schema","incomplete","Heather Figueroa","2024-10-10","4"
"","","","","","","3","Test integration module","incomplete","Deborah Thompson","2024-10-10","4"
"","","","","","","4","Test backend logic","incomplete","Frank Young","2024-10-10","6"
"115","8","11744.02","high","170","Paul Webb","1","Test backend logic","incomplete","Leslie Friedman","2024-04-11","1"
"","","","","","","2","Document user interface","incomplete","Heather Holt","2024-04-11","8"
"","","","","","","3","Test algorithm","complete","Charles Ferguson","2024-04-11","4"
"","","","","","","4","Test integration module","incomplete","Jade Herrera","2024-04-11","3"
"116","2","13078.39","high","152","Kimberly Crawford","1","Implement user interface","complete","Stephanie Harrison","2024-03-05","7"
"","","","","","","2","Document algorithm","complete","Steven Beck","2024-03-05","3"
"117","1","14822.59","low","238","Stacy Watts","1","Implement database schema","incomplete","Peggy Young","2024-10-09","5"
"","","","","","","2","Design user interface","complete","Michael Livingston","2024-10-09","9"
"","","","","","","3","Document user interface","complete","Gregory Martin","2024-10-09","7"
"","","","","","","4","Design algorithm","incomplete","Cristian Nguyen","2024-10-09","3"
"118","5","14383.72","low","182","Katrina Wilson","1","Test algorithm","incomplete","Kathryn May","2024-12-13","3"
"119","9","12340.1","low","87","Daniel Lopez","1","Test backend logic","complete","Michael Livingston","2024-05-02","6"
"","","","","","","2","Optimize backend logic","complete","Samantha Olson","2024-05-02","10"
"","","","","","","3","Debug algorithm","incomplete","Stephanie Harrison","2024-05-02","2"
"","","","","","","4","Document user interface","complete","Jocelyn Watson","2024-05-02","3"
"120","8","11618.01","low","33","Gary Moss","1","Test database schema","incomplete","Steven Sharp","2024-08-23","10"
"","","","","","","2","Optimize user interface","incomplete","Ann Mullins","2024-08-23","6"
"121","4","10310.62","low","268","Randall Jones","1","Optimize database schema","complete","James Armstrong","2024-04-30","5"
"","","","","","","2","Optimize backend logic","complete","Brandon Ramirez","2024-04-30","3"
